"","Chemical.class","Standard.match"
"HILIC-pos_Cluster_0214","Indoles and derivatives",NA
"HILIC-pos_Cluster_0220","Amino acids, peptides, and analogues",NA
"HILIC-pos_Cluster_0231",NA,NA
"HILIC-pos_Cluster_0234","Indoles and derivatives",NA
"HILIC-pos_Cluster_0259","M-methoxybenzoic acids and derivatives",NA
"HILIC-pos_Cluster_0261","M-methoxybenzoic acids and derivatives",NA
"HILIC-pos_Cluster_0263","Amphetamines and derivatives",NA
"HILIC-pos_Cluster_0273",NA,NA
"HILIC-pos_Cluster_0275","Piperidines",NA
"HILIC-pos_Cluster_0277","Triacylglycerols",NA
"HILIC-pos_Cluster_0290","Leucine and derivatives",NA
"HILIC-pos_Cluster_0291","Amino acids, peptides, and analogues",NA
"HILIC-pos_Cluster_0302",NA,NA
"HILIC-pos_Cluster_0308","L-alpha-amino acids",NA
"HILIC-pos_Cluster_0309","L-alpha-amino acids",NA
"HILIC-pos_Cluster_0316","Dimethoxybenzenes",NA
"HILIC-pos_Cluster_0319","Tetrahydroisoquinolines",NA
"HILIC-pos_Cluster_0323","Phenylpropanes",NA
"HILIC-pos_Cluster_0326","Phenols",NA
"HILIC-pos_Cluster_0327",NA,NA
"HILIC-pos_Cluster_0330","Tetrahydroisoquinolines",NA
"HILIC-pos_Cluster_0334",NA,NA
"HILIC-pos_Cluster_0341",NA,NA
"HILIC-pos_Cluster_0342",NA,NA
"HILIC-pos_Cluster_0352",NA,NA
"HILIC-pos_Cluster_0353",NA,NA
"HILIC-pos_Cluster_0354",NA,NA
"HILIC-pos_Cluster_0356","Alanine and derivatives",NA
"HILIC-pos_Cluster_0358",NA,NA
"HILIC-pos_Cluster_0367",NA,NA
"HILIC-pos_Cluster_0377","Dipeptides",NA
"HILIC-pos_Cluster_0388","Indoles and derivatives",NA
"HILIC-pos_Cluster_0391","Cumenes",NA
"HILIC-pos_Cluster_0418","Tyrosine and derivatives",NA
"HILIC-pos_Cluster_0449",NA,NA
"HILIC-pos_Cluster_0458",NA,NA
"HILIC-pos_Cluster_0459",NA,NA
"HILIC-pos_Cluster_0468","Naphthalenes",NA
"HILIC-pos_Cluster_0476","Alpha amino acid amides",NA
"HILIC-pos_Cluster_0482","Benzene and substituted derivatives",NA
"HILIC-pos_Cluster_0486","Indoles and derivatives",NA
"HILIC-pos_Cluster_0487",NA,NA
"HILIC-pos_Cluster_0489","Indoles and derivatives",NA
"HILIC-pos_Cluster_0507",NA,NA
"HILIC-pos_Cluster_0510",NA,NA
"HILIC-pos_Cluster_0513","Dipeptides",NA
"HILIC-pos_Cluster_0525","Dipeptides",NA
"HILIC-pos_Cluster_0529",NA,NA
"HILIC-pos_Cluster_0532","Amino acids, peptides, and analogues",NA
"HILIC-pos_Cluster_0557","Tetrahydroisoquinolines",NA
"HILIC-pos_Cluster_0572","Hippuric acids",NA
"HILIC-pos_Cluster_0573","Fatty acyl glycosides of mono- and disaccharides",NA
"HILIC-pos_Cluster_0580",NA,NA
"HILIC-pos_Cluster_0588","Organonitrogen compounds",NA
"HILIC-pos_Cluster_0594","Medium-chain fatty acids",NA
"HILIC-pos_Cluster_0605","Carboxylic acid derivatives",NA
"HILIC-pos_Cluster_0608",NA,NA
"HILIC-pos_Cluster_0609","Lactones",NA
"HILIC-pos_Cluster_0611","Dipeptides",NA
"HILIC-pos_Cluster_0619",NA,NA
"HILIC-pos_Cluster_0649","O-glycosyl compounds",NA
"HILIC-pos_Cluster_0650","Diazines",NA
"HILIC-pos_Cluster_0661",NA,NA
"HILIC-pos_Cluster_0666",NA,NA
"HILIC-pos_Cluster_0674",NA,NA
"HILIC-pos_Cluster_0679","Dipeptides",NA
"HILIC-pos_Cluster_0683","N-acetyl-2-arylethylamines",NA
"HILIC-pos_Cluster_0687",NA,NA
"HILIC-pos_Cluster_0691","Phenylpropanoic acids",NA
"HILIC-pos_Cluster_0694","Dipeptides",NA
"HILIC-pos_Cluster_0702","Peptidomimetics",NA
"HILIC-pos_Cluster_0710",NA,NA
"HILIC-pos_Cluster_0713","Cyanogenic glycosides",NA
"HILIC-pos_Cluster_0731",NA,NA
"HILIC-pos_Cluster_0769",NA,NA
"HILIC-pos_Cluster_0781","Dipeptides",NA
"HILIC-pos_Cluster_0785","Anagyrine-type alkaloids",NA
"HILIC-pos_Cluster_0809","Phenols",NA
"HILIC-pos_Cluster_0818","Long-chain fatty acids",NA
"HILIC-pos_Cluster_0827","Long-chain fatty acids",NA
"HILIC-pos_Cluster_0834","Trifluoromethylbenzenes",NA
"HILIC-pos_Cluster_0835","Phenolic glycosides",NA
"HILIC-pos_Cluster_0841","Morphinans",NA
"HILIC-pos_Cluster_0843",NA,NA
"HILIC-pos_Cluster_0850","Medium-chain fatty acids",NA
"HILIC-pos_Cluster_0858",NA,NA
"HILIC-pos_Cluster_0868",NA,NA
"HILIC-pos_Cluster_0878","Dipeptides",NA
"HILIC-pos_Cluster_0884","Cinnamic acids and derivatives",NA
"HILIC-pos_Cluster_0886","Long-chain fatty acids",NA
"HILIC-pos_Cluster_0900","Fatty amides",NA
"HILIC-pos_Cluster_0922","Phenothiazines",NA
"HILIC-pos_Cluster_0924",NA,NA
"HILIC-pos_Cluster_0937",NA,NA
"HILIC-pos_Cluster_0950","Kaurane diterpenoids",NA
"HILIC-pos_Cluster_0952","Oligopeptides",NA
"HILIC-pos_Cluster_0958","N-acyl-alpha amino acids",NA
"HILIC-pos_Cluster_0984","Lineolic acids and derivatives",NA
"HILIC-pos_Cluster_0988","Purine nucleosides",NA
"HILIC-pos_Cluster_0991",NA,NA
"HILIC-pos_Cluster_1007",NA,NA
"HILIC-pos_Cluster_1010","Estrane steroids",NA
"HILIC-pos_Cluster_1013",NA,NA
"HILIC-pos_Cluster_1014","Benzodioxoles",NA
"HILIC-pos_Cluster_1024",NA,NA
"HILIC-pos_Cluster_1031",NA,NA
"HILIC-pos_Cluster_1040","Galanthamine-type amaryllidaceae alkaloids",NA
"HILIC-pos_Cluster_1056","Quinolines and derivatives",NA
"HILIC-pos_Cluster_1060",NA,NA
"HILIC-pos_Cluster_1066",NA,NA
"HILIC-pos_Cluster_1081",NA,NA
"HILIC-pos_Cluster_1083",NA,NA
"HILIC-pos_Cluster_1084",NA,NA
"HILIC-pos_Cluster_1093",NA,NA
"HILIC-pos_Cluster_1104",NA,NA
"HILIC-pos_Cluster_1109","Long-chain fatty acids",NA
"HILIC-pos_Cluster_1119","Pyridines and derivatives",NA
"HILIC-pos_Cluster_1128",NA,NA
"HILIC-pos_Cluster_1131","Benzopyrans",NA
"HILIC-pos_Cluster_1139","Organonitrogen compounds",NA
"HILIC-pos_Cluster_1144","Fatty acyl glycosides of mono- and disaccharides",NA
"HILIC-pos_Cluster_1150","Organonitrogen compounds",NA
"HILIC-pos_Cluster_1151","Organonitrogen compounds",NA
"HILIC-pos_Cluster_1156",NA,NA
"HILIC-pos_Cluster_1172","Flavonoids",NA
"HILIC-pos_Cluster_1175","Dipeptides",NA
"HILIC-pos_Cluster_1186","1-monoacylglycerols",NA
"HILIC-pos_Cluster_1189",NA,NA
"HILIC-pos_Cluster_1226","Fatty acids and conjugates",NA
"HILIC-pos_Cluster_1234","Quinone and hydroquinone lipids",NA
"HILIC-pos_Cluster_1260",NA,NA
"HILIC-pos_Cluster_1304",NA,NA
"HILIC-pos_Cluster_1311",NA,NA
"HILIC-pos_Cluster_1318","Alkyl-phenylketones",NA
"HILIC-pos_Cluster_1335",NA,NA
"HILIC-pos_Cluster_1352",NA,NA
"HILIC-pos_Cluster_1359",NA,NA
"HILIC-pos_Cluster_1376","Benzopyrans",NA
"HILIC-pos_Cluster_1381",NA,NA
"HILIC-pos_Cluster_1389","Fatty acyl glycosides of mono- and disaccharides",NA
"HILIC-pos_Cluster_1394",NA,NA
"HILIC-pos_Cluster_1395",NA,NA
"HILIC-pos_Cluster_1407","Medium-chain fatty acids",NA
"HILIC-pos_Cluster_1409",NA,NA
"HILIC-pos_Cluster_1416",NA,NA
"HILIC-pos_Cluster_1429","Benzodioxoles",NA
"HILIC-pos_Cluster_1431","Flavonoids",NA
"HILIC-pos_Cluster_1432","Flavonoids",NA
"HILIC-pos_Cluster_1434","Flavonoids",NA
"HILIC-pos_Cluster_1435","Acyclic diterpenoids",NA
"HILIC-pos_Cluster_1479","Alpha amino acid esters",NA
"HILIC-pos_Cluster_1487","Solanidines and derivatives",NA
"HILIC-pos_Cluster_1493","Vitamin D and derivatives",NA
"HILIC-pos_Cluster_1496","Cholesterols and derivatives",NA
"HILIC-pos_Cluster_1498",NA,NA
"HILIC-pos_Cluster_1499",NA,NA
"HILIC-pos_Cluster_1521","Diphenylmethanes",NA
"HILIC-pos_Cluster_1522",NA,NA
"HILIC-pos_Cluster_1532","Steroidal glycosides",NA
"HILIC-pos_Cluster_1550","Vitamin D and derivatives",NA
"HILIC-pos_Cluster_1567",NA,NA
"HILIC-pos_Cluster_1601","Cholesterols and derivatives",NA
"HILIC-pos_Cluster_1604","Vitamin D and derivatives",NA
"HILIC-pos_Cluster_1605","Ergosterols and derivatives",NA
"HILIC-pos_Cluster_1613","Glycerophosphates",NA
"HILIC-pos_Cluster_1614","Vitamin D and derivatives",NA
"HILIC-pos_Cluster_1615",NA,NA
"HILIC-pos_Cluster_1623",NA,NA
"HILIC-pos_Cluster_1645","Trichothecenes",NA
"HILIC-pos_Cluster_1647","Diterpenoids",NA
"HILIC-pos_Cluster_1654",NA,NA
"HILIC-pos_Cluster_1665","Amino acids, peptides, and analogues",NA
"HILIC-pos_Cluster_1674","Amino acids, peptides, and analogues",NA
"HILIC-pos_Cluster_1687",NA,NA
"HILIC-pos_Cluster_1688","Fatty acyl glycosides of mono- and disaccharides",NA
"HILIC-pos_Cluster_1705",NA,NA
"HILIC-pos_Cluster_1708",NA,NA
"HILIC-pos_Cluster_1716",NA,NA
"HILIC-pos_Cluster_1723","Diazines",NA
"HILIC-pos_Cluster_1739",NA,NA
"HILIC-pos_Cluster_1751",NA,NA
"HILIC-pos_Cluster_1760",NA,NA
"HILIC-pos_Cluster_1775",NA,NA
"HILIC-pos_Cluster_1791",NA,NA
"HILIC-pos_Cluster_1792",NA,NA
"HILIC-pos_Cluster_1793",NA,NA
"HILIC-pos_Cluster_1818","Beta-diketones",NA
"HILIC-pos_Cluster_1824",NA,NA
"HILIC-pos_Cluster_1825",NA,NA
"HILIC-pos_Cluster_1839","Diazines",NA
"HILIC-pos_Cluster_1844",NA,NA
"HILIC-pos_Cluster_1849",NA,NA
"HILIC-pos_Cluster_1868",NA,NA
"HILIC-pos_Cluster_1880",NA,NA
"HILIC-pos_Cluster_1881",NA,NA
"HILIC-pos_Cluster_1915",NA,NA
"HILIC-pos_Cluster_1916",NA,NA
"HILIC-pos_Cluster_1921","Triterpenoids",NA
"HILIC-pos_Cluster_1947",NA,NA
"HILIC-pos_Cluster_1948","Pyridines and derivatives",NA
"HILIC-pos_Cluster_1957",NA,NA
"HILIC-pos_Cluster_1960","Cardiolipins",NA
"HILIC-pos_Cluster_1962","Dipeptides",NA
"HILIC-pos_Cluster_1996","Phosphatidylinositol-4,5-bisphosphates",NA
"HILIC-pos_Cluster_1998","Xanthophylls",NA
"HILIC-pos_Cluster_2000","Sphingolipids",NA
"HILIC-pos_Cluster_2002",NA,NA
"HILIC-pos_Cluster_2006",NA,NA
"HILIC-pos_Cluster_2020",NA,NA
"HILIC-pos_Cluster_2022",NA,NA
"HILIC-pos_Cluster_2027",NA,NA
"HILIC-pos_Cluster_2031",NA,NA
"HILIC-pos_Cluster_2033",NA,NA
"HILIC-pos_Cluster_2041",NA,NA
"HILIC-pos_Cluster_2047",NA,NA
"HILIC-pos_Cluster_2056",NA,NA
"HILIC-pos_Cluster_2062",NA,NA
"HILIC-pos_Cluster_2071",NA,NA
"HILIC-pos_Cluster_2081",NA,NA
"HILIC-pos_Cluster_2089","Sphingolipids",NA
"HILIC-pos_Cluster_2090",NA,NA
"HILIC-pos_Cluster_2098","Tetrapyrroles and derivatives",NA
"HILIC-pos_Cluster_2108",NA,NA
"HILIC-pos_Cluster_2110",NA,NA
"HILIC-pos_Cluster_2115",NA,NA
"HILIC-pos_Cluster_2118",NA,NA
"HILIC-pos_Cluster_2122",NA,NA
"HILIC-pos_Cluster_2126",NA,NA
"HILIC-pos_Cluster_2139",NA,NA
"HILIC-pos_Cluster_2147",NA,NA
"HILIC-pos_Cluster_2148","Lineolic acids and derivatives",NA
"HILIC-pos_Cluster_2161",NA,NA
"HILIC-pos_Cluster_2164",NA,NA
"HILIC-pos_Cluster_2169",NA,NA
"HILIC-pos_Cluster_2175",NA,NA
"HILIC-pos_Cluster_2197","Diterpene glycosides",NA
"HILIC-pos_Cluster_2208","Sphingolipids",NA
"HILIC-pos_Cluster_2232",NA,NA
"HILIC-pos_Cluster_2235",NA,NA
"HILIC-pos_Cluster_2255",NA,NA
"HILIC-pos_Cluster_2265",NA,NA
"HILIC-pos_Cluster_2267",NA,NA
"HILIC-pos_Cluster_2269",NA,NA
"HILIC-pos_Cluster_2281",NA,NA
"HILIC-pos_Cluster_2287",NA,NA
"HILIC-pos_Cluster_2323",NA,NA
"HILIC-pos_Cluster_2342","Phosphatidylcholines",NA
"HILIC-pos_Cluster_2347",NA,NA
"HILIC-pos_Cluster_2373","Phosphatidylethanolamines",NA
"HILIC-pos_Cluster_2374","Cardiolipins",NA
"C18-neg_Cluster_0020","Medium-chain fatty acids",NA
"C18-neg_Cluster_0033",NA,NA
"C18-neg_Cluster_0059","Hydroxy acids and derivatives",NA
"C18-neg_Cluster_0075","Phenylpropanoic acids",NA
"C18-neg_Cluster_0077","Phenol ethers",NA
"C18-neg_Cluster_0080","Medium-chain fatty acids",NA
"C18-neg_Cluster_0081","N-acyl-alpha amino acids",NA
"C18-neg_Cluster_0085","Phenols",NA
"C18-neg_Cluster_0115",NA,NA
"C18-neg_Cluster_0121","Indoles and derivatives",NA
"C18-neg_Cluster_0184",NA,NA
"C18-neg_Cluster_0190","Furanocoumarins",NA
"C18-neg_Cluster_0238","Phenols and derivatives",NA
"C18-neg_Cluster_0310","O-glucuronides",NA
"C18-neg_Cluster_0319","Long-chain fatty acids",NA
"C18-neg_Cluster_0328","Secondary alcohols",NA
"C18-neg_Cluster_0329","Secondary alcohols",NA
"C18-neg_Cluster_0359",NA,NA
"C18-neg_Cluster_0410","Long-chain fatty acids",NA
"C18-neg_Cluster_0467","Flavonoids",NA
"C18-neg_Cluster_0482","Phenylbenzodioxanes",NA
"C18-neg_Cluster_0485","Phenylbenzodioxanes",NA
"C18-neg_Cluster_0489","Long-chain fatty acids",NA
"C18-neg_Cluster_0557",NA,NA
"C18-neg_Cluster_0564","21-hydroxysteroids",NA
"C18-neg_Cluster_0586","Hydroxybenzoic acid derivatives",NA
"C18-neg_Cluster_0620","Alkyl-phenylketones",NA
"C18-neg_Cluster_0629","O-methylated flavonoids",NA
"C18-neg_Cluster_0630","Coumarins and derivatives",NA
"C18-neg_Cluster_0647",NA,NA
"C18-neg_Cluster_0662","Sesquiterpenoids",NA
"C18-neg_Cluster_0667",NA,NA
"C18-neg_Cluster_0707",NA,NA
"C18-neg_Cluster_0718","Lineolic acids and derivatives",NA
"C18-neg_Cluster_0751","Diterpenoids",NA
"C18-neg_Cluster_0777",NA,NA
"C18-neg_Cluster_0784",NA,NA
"C18-neg_Cluster_0786","Pyridines and derivatives",NA
"C18-neg_Cluster_0834",NA,NA
"C18-neg_Cluster_0858","Sesquiterpenoids",NA
"C18-neg_Cluster_0891",NA,NA
"C18-neg_Cluster_0914",NA,NA
"C18-neg_Cluster_0918",NA,NA
"C18-neg_Cluster_0973",NA,NA
"C18-neg_Cluster_1002",NA,NA
"C18-neg_Cluster_1015",NA,NA
"C18-neg_Cluster_1089",NA,NA
"C18-neg_Cluster_1094",NA,NA
"C18-neg_Cluster_1134","Phenylbutylamines",NA
"C18-neg_Cluster_1168",NA,NA
"C18-neg_Cluster_1171","Acyl carnitines",NA
"C18-neg_Cluster_1185","Flavonoids",NA
"C18-neg_Cluster_1217",NA,NA
"C18-neg_Cluster_1245",NA,NA
"C18-neg_Cluster_1294",NA,NA
"C18-neg_Cluster_1386","Triterpenoids",NA
"C18-neg_Cluster_1388","Triterpenoids",NA
"C18-neg_Cluster_1389",NA,NA
"C18-neg_Cluster_1509","Triterpenoids",NA
"C18-neg_Cluster_1512","Triterpenoids",NA
"C18-neg_Cluster_1549",NA,NA
"C18-neg_Cluster_1558",NA,NA
"C18-neg_Cluster_1565",NA,NA
"C18-neg_Cluster_1581",NA,NA
"C18-neg_Cluster_1597","Triterpenoids",NA
"C18-neg_Cluster_1637","Acyclic diterpenoids",NA
"C18-neg_Cluster_1670","Triterpenoids",NA
"C18-neg_Cluster_1678","Trihydroxy bile acids, alcohols and derivatives",NA
"C18-neg_Cluster_1681",NA,NA
"C18-neg_Cluster_1682",NA,NA
"C18-neg_Cluster_1697",NA,NA
"C18-neg_Cluster_1709",NA,NA
"C18-neg_Cluster_1750","Vitamin D and derivatives",NA
"C18-neg_Cluster_1767","1-acyl-sn-glycero-3-phosphocholines",NA
"C18-neg_Cluster_1770","1-acyl-sn-glycero-3-phosphocholines",NA
"C18-neg_Cluster_1779",NA,NA
"C18-neg_Cluster_1885",NA,NA
"C18-neg_Cluster_1920","Triterpenoids",NA
"C18-neg_Cluster_1988",NA,NA
"C18-neg_Cluster_2000","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_2001","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_2035",NA,NA
"C18-neg_Cluster_2042",NA,NA
"C18-neg_Cluster_2053",NA,NA
"C18-neg_Cluster_2065",NA,NA
"C18-neg_Cluster_2067",NA,NA
"C18-neg_Cluster_2099",NA,NA
"C8-pos_Cluster_0087","Fatty amides",NA
"C8-pos_Cluster_0113","Lineolic acids and derivatives",NA
"C8-pos_Cluster_0160","Beta-diketones",NA
"C8-pos_Cluster_0201",NA,NA
"C8-pos_Cluster_0213",NA,NA
"C8-pos_Cluster_0214","Cinnamic acids and derivatives",NA
"C8-pos_Cluster_0219",NA,NA
"C8-pos_Cluster_0241",NA,NA
"C8-pos_Cluster_0244",NA,NA
"C8-pos_Cluster_0407","Glycerol vinyl ethers",NA
"C8-pos_Cluster_0479","Menthane monoterpenoids",NA
"C8-pos_Cluster_0507","Sphingolipids",NA
"C8-pos_Cluster_0528",NA,NA
"C8-pos_Cluster_0575",NA,NA
"C8-pos_Cluster_0606","Trihydroxy bile acids, alcohols and derivatives",NA
"C8-pos_Cluster_0610","Cinnamic acids and derivatives",NA
"C8-pos_Cluster_0614","Very long-chain fatty acids",NA
"C8-pos_Cluster_0618",NA,NA
"C8-pos_Cluster_0670","Vitamin D and derivatives",NA
"C8-pos_Cluster_0699","Triterpenoids",NA
"C8-pos_Cluster_0700","Triterpenoids",NA
"C8-pos_Cluster_0755","Glycerophosphates",NA
"C8-pos_Cluster_0818",NA,NA
"C8-pos_Cluster_0843","Triterpenoids",NA
"C8-pos_Cluster_0859",NA,NA
"C8-pos_Cluster_0862",NA,NA
"C8-pos_Cluster_0946",NA,NA
"C8-pos_Cluster_0948",NA,NA
"C8-pos_Cluster_0997",NA,NA
"C8-pos_Cluster_0998",NA,NA
"C8-pos_Cluster_1017","Carotenes",NA
"C8-pos_Cluster_1018","Carotenes",NA
"C8-pos_Cluster_1028",NA,NA
"C8-pos_Cluster_1030",NA,NA
"C8-pos_Cluster_1062","Annonaceous acetogenins",NA
"C8-pos_Cluster_1082",NA,NA
"C8-pos_Cluster_1108",NA,NA
"C8-pos_Cluster_1159",NA,NA
"C8-pos_Cluster_1197",NA,NA
"C8-pos_Cluster_1253",NA,NA
"C8-pos_Cluster_1285","Cyclopentyl nucleosides",NA
"C8-pos_Cluster_1307",NA,NA
"C8-pos_Cluster_1401",NA,NA
"C8-pos_Cluster_1416","Other hydroxyeicosapolyenoic acids",NA
"C8-pos_Cluster_1426","Other hydroxyeicosapolyenoic acids",NA
"C8-pos_Cluster_1449",NA,NA
"C8-pos_Cluster_1476",NA,NA
"C8-pos_Cluster_1485",NA,NA
"C8-pos_Cluster_1499",NA,NA
"C8-pos_Cluster_1510",NA,NA
"C8-pos_Cluster_1512",NA,NA
"C8-pos_Cluster_1541",NA,NA
"C8-pos_Cluster_1580","Other hydroxyeicosapolyenoic acids",NA
"C8-pos_Cluster_1611",NA,NA
"C8-pos_Cluster_1630","Cholesteryl esters",NA
"C8-pos_Cluster_1652","Cholesteryl esters",NA
"C8-pos_Cluster_1685",NA,NA
"C8-pos_Cluster_1693","1,2-diacylglycerols",NA
"C8-pos_Cluster_1728",NA,NA
"C8-pos_Cluster_1795","1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",NA
"C8-pos_Cluster_1803",NA,NA
"C8-pos_Cluster_1813","1,2-diacylglycerols",NA
"C8-pos_Cluster_1823",NA,NA
"C8-pos_Cluster_1826",NA,NA
"C8-pos_Cluster_1838","Phenylacetic acid derivatives",NA
"C8-pos_Cluster_1853",NA,NA
"C8-pos_Cluster_1880",NA,NA
"C8-pos_Cluster_1977",NA,NA
"C8-pos_Cluster_1989","Phosphatidylethanolamines",NA
"C8-pos_Cluster_2074",NA,NA
"C8-pos_Cluster_2083",NA,NA
"C8-pos_Cluster_2093",NA,NA
"C8-pos_Cluster_2099","Sphingolipids",NA
"C8-pos_Cluster_2142",NA,NA
"C8-pos_Cluster_2158",NA,NA
"C8-pos_Cluster_2162","Sphingolipids",NA
"C8-pos_Cluster_2176",NA,NA
"C8-pos_Cluster_2246",NA,NA
"C8-pos_Cluster_2248","Phosphatidylcholines",NA
"C8-pos_Cluster_2255","Phosphatidylcholines",NA
"C8-pos_Cluster_2338","O-methylated flavonoids",NA
"C8-pos_Cluster_2351","Triacylglycerols",NA
"C8-pos_Cluster_2354","Triacylglycerols",NA
"C8-pos_Cluster_2390",NA,NA
"C8-pos_Cluster_2392","M-benzoquinones",NA
"C8-pos_Cluster_2415",NA,NA
"C8-pos_Cluster_2430","Sphingolipids",NA
"C8-pos_Cluster_2437",NA,NA
"HILIC-neg_Cluster_0043",NA,NA
"HILIC-neg_Cluster_0096","Alpha-hydrogen aldehydes",NA
"HILIC-neg_Cluster_0102","Fatty acid esters",NA
"HILIC-neg_Cluster_0197","N-acetyl-2-arylethylamines",NA
"HILIC-neg_Cluster_0255","P-methoxybenzoic acids and derivatives",NA
"HILIC-neg_Cluster_0284","Keto acids and derivatives",NA
"HILIC-neg_Cluster_0427",NA,NA
"HILIC-neg_Cluster_0433","Hydroxy acids and derivatives",NA
"HILIC-neg_Cluster_0445","Isothiocyanates",NA
"HILIC-neg_Cluster_0449","Cyclohexenones",NA
"HILIC-neg_Cluster_0482","Phenylpropanoic acids",NA
"HILIC-neg_Cluster_0512",NA,NA
"HILIC-neg_Cluster_0534","Medium-chain fatty acids",NA
"HILIC-neg_Cluster_0675",NA,NA
"HILIC-neg_Cluster_0676",NA,NA
"HILIC-neg_Cluster_0703",NA,NA
"HILIC-neg_Cluster_0796","Sulfoxides",NA
"HILIC-neg_Cluster_0835","Phenolic glycosides",NA
"HILIC-neg_Cluster_0928",NA,NA
"HILIC-neg_Cluster_0933","Glycosyl compounds",NA
"HILIC-neg_Cluster_0938","Long-chain fatty acids",NA
"HILIC-neg_Cluster_0946",NA,NA
"HILIC-neg_Cluster_0975","O-glucuronides",NA
"HILIC-neg_Cluster_1015",NA,NA
"HILIC-neg_Cluster_1043",NA,NA
"HILIC-neg_Cluster_1086","Diazines",NA
"HILIC-neg_Cluster_1103","Flavonoids",NA
"HILIC-neg_Cluster_1122",NA,NA
"HILIC-neg_Cluster_1125","Long-chain fatty acids",NA
"HILIC-neg_Cluster_1162","Quinolines and derivatives",NA
"HILIC-neg_Cluster_1187","Dioxanes",NA
"HILIC-neg_Cluster_1200","21-hydroxysteroids",NA
"HILIC-neg_Cluster_1203","Fatty acid esters",NA
"HILIC-neg_Cluster_1214",NA,NA
"HILIC-neg_Cluster_1240","Coumarins and derivatives",NA
"HILIC-neg_Cluster_1271","Sesquiterpenoids",NA
"HILIC-neg_Cluster_1277","Quinic acids and derivatives",NA
"HILIC-neg_Cluster_1284","Prostaglandins and related compounds",NA
"HILIC-neg_Cluster_1307","Thienopyridines",NA
"HILIC-neg_Cluster_1355","N-acyl-L-alpha-amino acids",NA
"HILIC-neg_Cluster_1367",NA,NA
"HILIC-neg_Cluster_1377",NA,NA
"HILIC-neg_Cluster_1380","Stilbenes",NA
"HILIC-neg_Cluster_1392",NA,NA
"HILIC-neg_Cluster_1407","Guaianolides and derivatives",NA
"HILIC-neg_Cluster_1648","Sesquiterpenoids",NA
"HILIC-neg_Cluster_1650",NA,NA
"HILIC-neg_Cluster_1654","Triterpenoids",NA
"HILIC-neg_Cluster_1658",NA,NA
"HILIC-neg_Cluster_1680",NA,NA
"HILIC-neg_Cluster_1694",NA,NA
"HILIC-neg_Cluster_1749",NA,NA
"HILIC-neg_Cluster_1765",NA,NA
"HILIC-pos_Cluster_0061","Pyrazines",NA
"HILIC-pos_Cluster_0097","Dihydrothiophenes",NA
"HILIC-pos_Cluster_0109","Pyridines and derivatives",NA
"HILIC-pos_Cluster_0124",NA,NA
"HILIC-pos_Cluster_0132",NA,NA
"HILIC-pos_Cluster_0155","Monothioacetals",NA
"HILIC-pos_Cluster_0173","Thia fatty acids",NA
"HILIC-pos_Cluster_0181","Imidazopyrimidines",NA
"HILIC-pos_Cluster_0197","Unsaturated hydrocarbons",NA
"HILIC-pos_Cluster_0218","Alpha amino acids",NA
"HILIC-pos_Cluster_0229","Quaternary ammonium salts",NA
"HILIC-pos_Cluster_0242","Pteridines and derivatives",NA
"HILIC-pos_Cluster_0243","Phenol esters",NA
"HILIC-pos_Cluster_0271","Phenols",NA
"HILIC-pos_Cluster_0284",NA,NA
"HILIC-pos_Cluster_0296",NA,NA
"HILIC-pos_Cluster_0310","Unsaturated hydrocarbons",NA
"HILIC-pos_Cluster_0322",NA,NA
"HILIC-pos_Cluster_0325","Cyclohexanols",NA
"HILIC-pos_Cluster_0360","Benzothiazepines",NA
"HILIC-pos_Cluster_0362","Dipeptides",NA
"HILIC-pos_Cluster_0390","Phenylpropanes",NA
"HILIC-pos_Cluster_0399","Benzoic acid esters",NA
"HILIC-pos_Cluster_0400","Benzoic acid esters",NA
"HILIC-pos_Cluster_0403","Dipeptides",NA
"HILIC-pos_Cluster_0426",NA,NA
"HILIC-pos_Cluster_0428",NA,NA
"HILIC-pos_Cluster_0433","Carboximidic acids and derivatives",NA
"HILIC-pos_Cluster_0435",NA,NA
"HILIC-pos_Cluster_0437",NA,NA
"HILIC-pos_Cluster_0454","Dipeptides",NA
"HILIC-pos_Cluster_0475","Benzopyrans",NA
"HILIC-pos_Cluster_0511","Dipeptides",NA
"HILIC-pos_Cluster_0527","Dipeptides",NA
"HILIC-pos_Cluster_0550","Alpha amino acid amides",NA
"HILIC-pos_Cluster_0593","Medium-chain fatty acids",NA
"HILIC-pos_Cluster_0596","Diazines",NA
"HILIC-pos_Cluster_0632","Phenylpropanes",NA
"HILIC-pos_Cluster_0642","Benzoic acid esters",NA
"HILIC-pos_Cluster_0643","Indoles and derivatives",NA
"HILIC-pos_Cluster_0651","Diazines",NA
"HILIC-pos_Cluster_0655","Diazines",NA
"HILIC-pos_Cluster_0673",NA,NA
"HILIC-pos_Cluster_0738","Fatty acid esters",NA
"HILIC-pos_Cluster_0757",NA,NA
"HILIC-pos_Cluster_0765",NA,NA
"HILIC-pos_Cluster_0766","Acyl carnitines",NA
"HILIC-pos_Cluster_0767","N-acyl-alpha amino acids",NA
"HILIC-pos_Cluster_0793",NA,NA
"HILIC-pos_Cluster_0811","Diphenylethers",NA
"HILIC-pos_Cluster_0812",NA,NA
